#{"t_start": 1582834890.839442, "env_id": "nailbot-v0"}
r,l,t
30.841353,11,2.578401
43.288547,11,3.822732
11.158954,11,5.041512
48.201688,11,6.344631
29.514738,11,7.611898
27.559178,11,8.913609
37.564403,11,10.213516
24.821916,11,11.542157
27.503581,11,12.753785
37.334022,11,14.029642
43.351258,11,15.41556
35.790005,11,16.707684
15.566895,11,17.953549
31.469502,11,19.253496
41.097722,11,20.534791
12.320819,11,21.773662
27.470415,11,23.001868
30.626237,11,24.320524
43.559327,11,25.628775
25.999897,11,26.943569
41.470818,11,28.196855
43.880606,11,29.501935
28.626209,11,30.702858
28.656494,11,32.198878
218.821602,11,33.407322
40.868427,11,34.490025
14.727709,11,35.544373
43.602851,11,36.887744
38.399566,11,38.217977
39.246828,11,39.459593
40.60867,11,40.728912
18.683205,11,41.982256
11.547268,11,43.15957
20.673683,11,44.382783
35.321522,11,45.485964
41.266773,11,46.657315
37.786892,11,47.913965
24.233499,11,49.044425
20.909911,11,50.081928
35.195746,11,51.350085
44.022461,11,52.623376
48.689504,11,53.89456
10.983061,11,54.901815
37.309117,11,56.215222
40.711964,11,57.541966
33.68135,11,58.802065
25.419661,11,60.155994
31.888632,11,61.481691
141.870542,11,62.745384
30.890531,11,64.037821
46.188325,11,65.195411
42.57966,11,66.416133
132.150822,11,67.690869
35.25443,11,68.904531
26.997682,11,69.936196
25.470899,11,71.125046
40.593274,11,72.211818
231.971189,11,73.241386
138.653471,11,74.344243
36.448076,11,75.4463
38.159819,11,76.708625
11.782831,11,77.896262
33.896746,11,79.151027
32.512422,11,80.387352
17.697055,11,81.458638
12.509559,11,82.653163
23.873898,11,83.863986
40.148435,11,85.074763
41.353467,11,86.249006
31.050869,11,87.609522
135.775673,11,88.870488
19.15296,11,89.887398
39.264086,11,90.961305
18.240399,11,92.05396
43.219772,11,93.166285
23.261615,11,94.103592
21.939155,11,95.27827
37.805194,11,96.54988
27.675863,11,97.742596
32.75439,11,99.031429
138.396092,11,100.332886
122.509489,11,101.607238
42.809961,11,102.873497
119.254094,11,104.15059
42.439225,11,105.468881
38.905415,11,106.737334
21.957048,11,107.959645
46.03119,11,109.220919
40.560594,11,110.614922
34.22204,11,111.867429
32.677346,11,112.915903
45.063267,11,114.061994
15.968535,11,115.080441
41.679989,11,116.532807
37.293624,11,117.781929
135.212007,11,118.974992
57.694667,11,120.188132
29.375402,11,121.437557
252.287144,11,122.714363
26.431158,11,123.973525
135.36992,11,125.251825
29.260382,11,126.563312
18.570852,11,127.840554
33.271932,11,129.069406
13.552727,11,130.065582
34.483378,11,131.319138
157.152386,11,132.541034
32.803424,11,133.850068
35.684208,11,134.984881
245.500577,11,136.099516
229.908836,11,137.374897
33.770728,11,138.631363
33.661331,11,139.902804
27.565621,11,141.176846
32.006429,11,142.467061
33.142293,11,143.777447
22.217898,11,145.164275
22.617973,11,146.420876
16.776619,11,147.62129
27.553956,11,148.771265
39.847469,11,149.952045
22.220081,11,151.048456
36.051825,11,152.155227
34.550212,11,153.208195
24.798251,11,154.213071
12.973622,11,155.339718
11.9494,11,156.508101
31.176191,11,157.638119
18.904701,11,158.808645
139.756064,11,160.080525
18.910583,11,161.257978
20.135743,11,162.437844
22.4135,11,163.670267
17.887007,11,164.896522
20.498583,11,166.10309
117.027524,11,167.131629
19.558878,11,168.221009
30.420848,11,169.33178
36.421684,11,170.413386
13.226534,11,171.558619
14.767761,11,172.86701
12.278424,11,174.040952
21.698846,11,175.201261
17.909735,11,176.50685
19.843094,11,177.675642
14.261975,11,178.879678
29.460152,11,180.180764
13.818687,11,181.433891
11.083442,11,182.647765
13.606409,11,183.869726
13.917959,11,185.126888
27.894291,11,186.388053
26.60101,11,187.620928
14.329001,11,188.867462
11.673587,11,190.089273
13.59596,11,191.368973
17.675111,11,192.416593
16.977047,11,193.457449
18.326564,11,194.562093
26.49442,11,195.532727
14.953943,11,196.790069
12.971897,11,197.996356
124.025505,11,199.396489
19.247898,11,200.678334
21.442944,11,201.939037
17.328065,11,203.185454
23.147603,11,204.438647
24.661998,11,205.685439
17.055435,11,206.907917
10.816838,11,208.155363
36.352835,11,209.491538
11.709675,11,210.557058
31.633263,11,211.749729
18.158223,11,212.748889
13.210176,11,213.866415
14.516071,11,214.832955
38.572648,11,215.915628
30.486387,11,217.136578
35.091957,11,218.333455
23.876637,11,219.496841
23.836763,11,220.647136
12.581889,11,221.854171
13.947459,11,222.974045
13.301967,11,223.998686
21.519285,11,225.079355
13.557679,11,226.274446
20.506574,11,227.473099
12.023542,11,228.395732
26.339731,11,229.59807
37.340189,11,230.743929
33.660498,11,231.992409
39.752311,11,233.16636
35.779598,11,234.238527
37.302551,11,235.443329
21.080947,11,236.712694
23.692725,11,237.985543
38.585695,11,239.293558
19.12834,11,240.571184
36.26212,11,241.895998
12.935619,11,243.050048
37.840037,11,244.247784
16.576092,11,245.534435
38.606441,11,246.755766
30.853467,11,247.966274
15.006467,11,249.116862
34.899804,11,250.340714
34.814612,11,251.56279
25.603735,11,252.647265
41.957024,11,253.79366
13.513938,11,255.14143
19.597351,11,256.399282
15.530961,11,257.636069
14.199124,11,258.92537
30.850408,11,260.251961
30.756031,11,261.500759
34.192438,11,262.701794
35.104222,11,263.945279
25.287001,11,265.252312
30.80078,11,266.573363
34.621368,11,267.747463
17.04636,11,269.030169
13.176687,11,270.296475
133.009185,11,271.455315
27.497115,11,272.443328
31.46783,11,273.457057
25.045646,11,274.703357
19.355995,11,275.908555
12.110003,11,277.142078
31.02398,11,278.481761
12.938085,11,279.631229
22.910012,11,280.836192
18.78139,11,281.922312
24.837835,11,283.210071
14.171332,11,284.323193
11.732365,11,285.474738
11.928965,11,286.676106
14.79726,11,287.876264
24.897852,11,288.998969
21.914319,11,290.114264
59.921473,11,291.351814
13.627722,11,292.609474
23.883877,11,293.790874
22.74718,11,294.986976
13.368325,11,296.140397
12.853094,11,297.386147
11.602354,11,298.563389
12.111268,11,299.774238
19.961139,11,301.016238
11.441949,11,302.173673
11.527442,11,303.304029
28.174728,11,304.545448
36.191136,11,305.867903
26.84132,11,307.178234
19.089446,11,308.419774
20.842939,11,309.361002
34.540339,11,310.708352
34.128006,11,312.105825
15.122219,11,313.163444
34.46725,11,314.301133
20.137255,11,315.371446
30.529478,11,316.596214
20.365472,11,317.873155
25.246559,11,319.063661
18.282789,11,320.270205
19.43268,11,321.350942
35.531108,11,322.555199
32.021633,11,323.798394
26.049527,11,325.07086
16.608666,11,326.223498
21.489062,11,327.391301
20.743289,11,328.639627
15.751645,11,329.815302
16.996785,11,331.033146
13.425466,11,331.948529
14.687729,11,333.026605
17.366184,11,334.120493
36.674098,11,335.29055
15.827063,11,336.320075
19.839095,11,337.531638
16.158968,11,338.902501
22.786607,11,340.155684
19.616818,11,341.355166
13.611741,11,342.517718
16.337975,11,343.74127
22.06437,11,344.835753
19.468358,11,346.084208
127.436554,11,347.284891
38.212169,11,348.519203
36.964552,11,349.719364
137.753344,11,350.871591
32.647981,11,352.168844
23.931674,11,353.453151
31.887227,11,354.569443
13.24202,11,355.647298
13.761831,11,356.691638
17.940492,11,357.770668
17.385595,11,358.85673
27.37623,11,360.105936
18.623027,11,361.290958
15.317783,11,362.444149
24.904574,11,363.74091
11.609681,11,364.960115
32.526518,11,366.342179
11.091591,11,367.530097
22.687557,11,368.575603
24.174179,11,369.745677
17.942053,11,370.975348
13.926495,11,372.184482
16.151368,11,373.287333
32.66116,11,374.564586
31.305832,11,375.81453
46.987616,11,377.096452
27.833667,11,378.387675
19.212969,11,379.474192
16.473368,11,380.671384
14.785287,11,381.797611
11.91278,11,382.997252
22.853279,11,384.199697
38.020031,11,385.516804
13.033418,11,386.691496
29.906258,11,387.880929
19.081768,11,389.158102
13.381357,11,390.249163
28.581981,11,391.335762
28.360768,11,392.540231
10.917483,11,393.702444
22.607724,11,394.857343
16.188868,11,395.876667
8.967493,11,396.933577
28.58447,11,397.969611
21.974653,11,398.932875
19.099205,11,399.903585
28.300884,11,401.107424
22.948562,11,402.220334
21.717385,11,403.440769
27.221998,11,404.693635
21.542568,11,405.922466
22.72225,11,407.204091
31.307018,11,408.393171
14.948216,11,409.605155
14.15087,11,410.672299
10.401702,11,411.774751
14.562867,11,412.978782
29.223734,11,414.056086
24.785406,11,415.055223
15.958527,11,416.130822
21.193012,11,417.346063
14.608871,11,418.628371
33.330323,11,419.98243
25.444809,11,421.39059
26.56292,11,422.716686
22.098382,11,423.947664
36.685974,11,425.183263
16.114495,11,426.35464
14.02335,11,427.421098
21.338839,11,428.554693
16.066103,11,429.729293
35.812591,11,430.900138
12.48764,11,431.80169
26.309486,11,432.829616
12.732623,11,433.922616
14.882506,11,435.095071
15.069317,11,436.091074
15.851145,11,437.257991
39.513,11,438.460844
37.706368,11,439.779942
